date,open,high,low,close,volume
2019-10-29,106.12,107.54,105.09,105.1,2738987.0
2019-10-28,107.67,107.9861,105.49,106.4,2135868.0
2019-10-25,104.5,107.9,103.4,106.98,2699311.0
2019-10-24,102.85,105.94,102.3101,105.63,3742348.0
2019-10-23,100.2,104.39,99.7,100.5,4405580.0
2019-10-22,106.78,106.78,100.08,100.65,6079769.0
2019-10-21,106.6,107.78,104.8271,105.54,3215920.0
2019-10-18,110.26,110.36,103.8,106.35,4827524.0
2019-10-17,110.13,110.49,107.9101,110.05,2640267.0
2019-10-16,111.62,112.87,108.8679,109.8,4341899.0
2019-10-15,117.0,118.34,115.0,115.21,2205114.0
2019-10-14,114.07,117.05,113.55,116.59,1847144.0
2019-10-11,112.64,115.43,111.1,114.34,4009799.0
2019-10-10,110.35,112.52,110.05,110.29,2089032.0
2019-10-09,109.44,111.43,108.31,111.03,1911591.0
2019-10-08,111.67,112.6894,108.28,108.4,2828648.0
2019-10-07,111.16,113.805,110.8502,112.91,2231705.0
2019-10-04,111.41,112.837,109.8756,112.08,3503031.0
2019-10-03,106.87,111.39,104.15,110.5,5581321.0
2019-10-02,107.5,109.3,105.3991,106.61,3044772.0
2019-10-01,109.6,110.82,107.91,109.73,3001763.0
2019-09-30,106.5,110.85,104.2156,109.96,4788337.0
2019-09-27,110.24,111.13,104.8401,106.56,3855567.0
2019-09-26,111.39,112.31,108.41,110.9,3024162.0
2019-09-25,108.45,110.8,105.13,110.43,3989343.0
2019-09-24,112.98,113.47,106.83,109.11,4902268.0
2019-09-23,113.75,114.54,112.93,112.93,2092945.0
2019-09-20,115.89,117.23,111.1955,114.22,5706895.0
2019-09-19,117.0,117.0,113.33,115.11,5739685.0
2019-09-18,112.5,112.99,110.88,112.55,3295226.0
2019-09-17,112.95,113.25,110.1101,112.32,3320984.0
2019-09-16,108.39,111.815,107.6642,110.65,3040627.0
2019-09-13,112.47,113.08,108.72,109.59,4029371.0
2019-09-12,111.9,115.21,111.35,113.1,6367339.0
2019-09-11,110.71,113.74,109.55,109.72,7367997.0
2019-09-10,109.87,115.985,107.0,110.01,8080963.0
2019-09-09,123.99,124.35,108.6,111.88,11792717.0
2019-09-06,130.89,131.56,123.35,123.7,3834121.0
2019-09-05,133.57,133.99,127.44,129.73,4098583.0
2019-09-04,130.6,133.9673,130.0,132.32,1873109.0
2019-09-03,129.5,131.76,128.4001,129.7,2330883.0
2019-08-30,133.22,133.22,127.77,130.47,2124445.0
2019-08-29,132.28,133.95,131.34,132.05,2311489.0
2019-08-28,130.24,131.62,128.1,130.91,1771036.0
2019-08-27,131.3,134.59,128.69,131.48,2634778.0
2019-08-26,129.32,130.2,126.42,129.98,2302021.0
2019-08-23,130.45,133.8,127.57,127.96,2954384.0
2019-08-22,131.55,132.0,127.44,130.5,2208093.0
2019-08-21,128.22,132.58,127.66,131.06,3164581.0
2019-08-20,125.55,128.1,124.5,126.86,1869076.0
2019-08-19,126.45,127.83,125.31,125.61,2859275.0
2019-08-16,124.46,126.5699,123.75,124.76,2453378.0
2019-08-15,126.31,126.8899,122.02,123.17,3335219.0
